time,dirty,writeback
2023-01-08 18:21:55,0.078125,0
2023-01-08 18:21:54,0.078125,0
2023-01-08 18:21:53,0.078125,0
2023-01-08 18:21:52,0.078125,0
2023-01-08 18:21:51,0.078125,0
2023-01-08 18:21:50,0.078125,0
2023-01-08 18:21:49,0.078125,0
2023-01-08 18:21:48,0.078125,0
2023-01-08 18:21:47,0.078125,0
2023-01-08 18:21:46,0.078125,0
2023-01-08 18:21:45,0.078125,0
2023-01-08 18:21:44,0.078125,0
2023-01-08 18:21:43,0.078125,0
2023-01-08 18:21:42,0.078125,0
2023-01-08 18:21:41,0.078125,0
2023-01-08 18:21:40,0.078125,0
2023-01-08 18:21:39,0.078125,0
2023-01-08 18:21:38,0.078125,0
2023-01-08 18:21:37,0.078125,0
2023-01-08 18:21:36,0.078125,0
2023-01-08 18:21:35,0.078125,0
2023-01-08 18:21:34,0.078125,0
2023-01-08 18:21:33,0,0
2023-01-08 18:21:32,0,0
2023-01-08 18:21:31,0.078125,0
2023-01-08 18:21:30,0.078125,0
2023-01-08 18:21:29,0.078125,0
2023-01-08 18:21:28,0.078125,0
2023-01-08 18:21:27,0.109375,0
2023-01-08 18:21:26,0.078125,0
2023-01-08 18:21:25,0.078125,0
2023-01-08 18:21:24,0.078125,0
2023-01-08 18:21:23,0.078125,0
2023-01-08 18:21:22,0.109375,0
2023-01-08 18:21:21,0.078125,0
2023-01-08 18:21:20,0.078125,0
2023-01-08 18:21:19,0.078125,0
2023-01-08 18:21:18,0.078125,0
2023-01-08 18:21:17,0.078125,0
2023-01-08 18:21:16,0.078125,0
2023-01-08 18:21:15,0.078125,0
2023-01-08 18:21:14,0.078125,0
2023-01-08 18:21:13,0.078125,0
2023-01-08 18:21:12,0.078125,0
2023-01-08 18:21:11,0.078125,0
2023-01-08 18:21:10,0.078125,0
2023-01-08 18:21:09,0.078125,0
2023-01-08 18:21:08,0.078125,0
2023-01-08 18:21:07,0.109375,0
2023-01-08 18:21:06,0,0
2023-01-08 18:21:05,0,0
2023-01-08 18:21:04,0,0
2023-01-08 18:21:03,0,0
2023-01-08 18:21:02,0,0
2023-01-08 18:21:01,0,0
2023-01-08 18:21:00,0,0
2023-01-08 18:20:59,0,0
2023-01-08 18:20:58,0,0
2023-01-08 18:20:57,0,0
2023-01-08 18:20:56,0,0
2023-01-08 18:20:55,0,0
2023-01-08 18:20:54,0,0
2023-01-08 18:20:53,0,0
2023-01-08 18:20:52,0,0
2023-01-08 18:20:51,0,0
2023-01-08 18:20:50,0,0
2023-01-08 18:20:49,0,0
2023-01-08 18:20:48,0,0
2023-01-08 18:20:47,0,0
2023-01-08 18:20:46,0,0
2023-01-08 18:20:45,0,0
2023-01-08 18:20:44,0,0
2023-01-08 18:20:43,0,0
2023-01-08 18:20:42,0,0
2023-01-08 18:20:41,0,0
2023-01-08 18:20:40,0,0
2023-01-08 18:20:39,0,0
2023-01-08 18:20:38,0,0
2023-01-08 18:20:37,0,0
2023-01-08 18:20:36,0,0
2023-01-08 18:20:35,0,0
2023-01-08 18:20:34,0,0
2023-01-08 18:20:33,0,0
2023-01-08 18:20:32,0,0
2023-01-08 18:20:31,0,0
2023-01-08 18:20:30,0,0
2023-01-08 18:20:29,0,0
2023-01-08 18:20:28,0,0
2023-01-08 18:20:27,0,0
2023-01-08 18:20:26,0,0
2023-01-08 18:20:25,0,0
2023-01-08 18:20:24,0,0
2023-01-08 18:20:23,0,0
2023-01-08 18:20:22,0,0
2023-01-08 18:20:21,0,0
2023-01-08 18:20:20,0,0
2023-01-08 18:20:19,0,0
2023-01-08 18:20:18,0,0
2023-01-08 18:20:17,0,0
2023-01-08 18:20:16,0,0
2023-01-08 18:20:15,0,0
2023-01-08 18:20:14,0,0
2023-01-08 18:20:13,0,0
2023-01-08 18:20:12,0,0
2023-01-08 18:20:11,0,0
2023-01-08 18:20:10,0,0
2023-01-08 18:20:09,0,0
2023-01-08 18:20:08,0,0
2023-01-08 18:20:07,0,0
2023-01-08 18:20:06,0,0
2023-01-08 18:20:05,0,0
2023-01-08 18:20:04,0,0
2023-01-08 18:20:03,0,0
2023-01-08 18:20:02,0,0
2023-01-08 18:20:01,0,0
2023-01-08 18:20:00,0,0
2023-01-08 18:19:59,0,0
2023-01-08 18:19:58,0,0
2023-01-08 18:19:57,0,0
2023-01-08 18:19:56,0,0
